TITLE="plot"
VARIABLES="x", "y", "z"
ZONE T="f", I=100, J=100, F=POINT
0.502655 0.379814 0.130506
0.565487 0.379814 0.126199
0.628319 0.379814 0.121554
0.69115 0.379814 0.116618
0.753982 0.379814 0.111442
0.816814 0.379814 0.106076
0.879646 0.379814 0.100571
0.942478 0.379814 0.0949753
1.00531 0.379814 0.0893378
1.06814 0.379814 0.0837039
1.13097 0.379814 0.0781163
1.19381 0.379814 0.0726144
1.25664 0.379814 0.0672341
1.31947 0.379814 0.0620071
1.3823 0.379814 0.0569612
1.44513 0.379814 0.0521198
1.50796 0.379814 0.0475019
1.5708 0.379814 0.0431226
1.63363 0.379814 0.0389928
1.69646 0.379814 0.0351196
1.75929 0.379814 0.0315065
1.82212 0.379814 0.0281537
1.88496 0.379814 0.0250586
1.94779 0.379814 0.0222159
2.01062 0.379814 0.0196181
2.07345 0.379814 0.0172558
2.13628 0.379814 0.0151181
2.19912 0.379814 0.0131931
2.26195 0.379814 0.0114678
2.32478 0.379814 0.0099289
2.38761 0.379814 0.00856261
2.45044 0.379814 0.00735524
2.51327 0.379814 0.00629322
2.57611 0.379814 0.00536333
2.63894 0.379814 0.00455284
2.70177 0.379814 0.00384959
2.7646 0.379814 0.00324215
2.82743 0.379814 0.00271979
2.89027 0.379814 0.00227261
2.9531 0.379814 0.00189147
3.01593 0.379814 0.00156805
3.07876 0.379814 0.00129481
3.14159 0.379814 0.00106497
3.20443 0.379814 0.000872474
3.26726 0.379814 0.000711958
3.33009 0.379814 0.000578684
3.39292 0.379814 0.000468505
3.45575 0.379814 0.000377809
3.51858 0.379814 0.00030347
3.58142 0.379814 0.000242798
3.64425 0.379814 0.000193491
3.70708 0.379814 0.000153589
3.76991 0.379814 0.000121436
3.83274 0.379814 9.56351e-05
3.89558 0.379814 7.50194e-05
3.95841 0.379814 5.86159e-05
4.02124 0.379814 4.56188e-05
4.08407 0.379814 3.53636e-05
4.1469 0.379814 2.73058e-05
4.20974 0.379814 2.1001e-05
4.27257 0.379814 1.60882e-05
4.3354 0.379814 1.22762e-05
4.39823 0.379814 9.33047e-06
4.46106 0.379814 7.06366e-06
4.52389 0.379814 5.32649e-06
4.58673 0.379814 4.00072e-06
4.64956 0.379814 2.99309e-06
4.71239 0.379814 2.23043e-06
4.77522 0.379814 1.65555e-06
4.83805 0.379814 1.22399e-06
4.90089 0.379814 9.01371e-07
4.96372 0.379814 6.6117e-07
5.02655 0.379814 4.83068e-07
5.08938 0.379814 3.51552e-07
5.15221 0.379814 2.54833e-07
5.21505 0.379814 1.83995e-07
5.27788 0.379814 1.32325e-07
5.34071 0.379814 9.47908e-08
5.40354 0.379814 6.76354e-08
5.46637 0.379814 4.80693e-08
5.5292 0.379814 3.40288e-08
5.59204 0.379814 2.39944e-08
5.65487 0.379814 1.68523e-08
5.7177 0.379814 1.17895e-08
5.78053 0.379814 8.21517e-09
5.84336 0.379814 5.70194e-09
5.9062 0.379814 3.94198e-09
5.96903 0.379814 2.71451e-09
6.03186 0.379814 1.86189e-09
6.09469 0.379814 1.27204e-09
6.15752 0.379814 8.65638e-10
6.22036 0.379814 5.86753e-10
0 0.442646 0.144302
0.0628319 0.442646 0.144018
0.125664 0.442646 0.143167
0.188496 0.442646 0.141761
0.251327 0.442646 0.139816
0.314159 0.442646 0.137354
0.376991 0.442646 0.134404
0.439823 0.442646 0.130999
0.502655 0.442646 0.127177
0.565487 0.442646 0.12298
0.628319 0.442646 0.118453
0.69115 0.442646 0.113643
0.753982 0.442646 0.108599
0.816814 0.442646 0.10337
0.879646 0.442646 0.0980053
0.942478 0.442646 0.0925527
1.00531 0.442646 0.0870591
1.06814 0.442646 0.0815688
1.13097 0.442646 0.0761237
1.19381 0.442646 0.0707622
1.25664 0.442646 0.0655191
1.31947 0.442646 0.0604255
1.3823 0.442646 0.0555083
1.44513 0.442646 0.0507903
1.50796 0.442646 0.0462903
1.5708 0.442646 0.0420227
1.63363 0.442646 0.0379982
1.69646 0.442646 0.0342238
1.75929 0.442646 0.0307029
1.82212 0.442646 0.0274356
1.88496 0.442646 0.0244195
1.94779 0.442646 0.0216493
2.01062 0.442646 0.0191177
2.07345 0.442646 0.0168156
2.13628 0.442646 0.0147325
2.19912 0.442646 0.0128566
2.26195 0.442646 0.0111753
2.32478 0.442646 0.00967564
2.38761 0.442646 0.0083442
2.45044 0.442646 0.00716763
2.51327 0.442646 0.0061327
2.57611 0.442646 0.00522653
2.63894 0.442646 0.0044367
2.70177 0.442646 0.0037514
2.7646 0.442646 0.00315945
2.82743 0.442646 0.00265042
2.89027 0.442646 0.00221464
2.9531 0.442646 0.00184322
3.01593 0.442646 0.00152805
3.07876 0.442646 0.00126178
3.14159 0.442646 0.0010378
3.20443 0.442646 0.000850219
3.26726 0.442646 0.000693797
3.33009 0.442646 0.000563923
3.39292 0.442646 0.000456555
3.45575 0.442646 0.000368172
3.51858 0.442646 0.00029573
3.58142 0.442646 0.000236605
3.64425 0.442646 0.000188555
3.70708 0.442646 0.000149671
3.76991 0.442646 0.000118338
3.83274 0.442646 9.31957e-05
3.89558 0.442646 7.31059e-05
3.95841 0.442646 5.71208e-05
4.02124 0.442646 4.44551e-05
4.08407 0.442646 3.44616e-05
4.1469 0.442646 2.66093e-05
4.20974 0.442646 2.04653e-05
4.27257 0.442646 1.56779e-05
4.3354 0.442646 1.1963e-05
4.39823 0.442646 9.09248e-06
4.46106 0.442646 6.88348e-06
4.52389 0.442646 5.19062e-06
4.58673 0.442646 3.89867e-06
4.64956 0.442646 2.91675e-06
4.71239 0.442646 2.17353e-06
4.77522 0.442646 1.61332e-06
4.83805 0.442646 1.19277e-06
4.90089 0.442646 8.7838e-07
4.96372 0.442646 6.44305e-07
5.02655 0.442646 4.70746e-07
5.08938 0.442646 3.42584e-07
5.15221 0.442646 2.48332e-07
5.21505 0.442646 1.79302e-07
5.27788 0.442646 1.2895e-07
5.34071 0.442646 9.23729e-08
5.40354 0.442646 6.59102e-08
5.46637 0.442646 4.68431e-08
5.5292 0.442646 3.31608e-08
5.59204 0.442646 2.33824e-08
5.65487 0.442646 1.64225e-08
5.7177 0.442646 1.14888e-08
5.78053 0.442646 8.00562e-09
5.84336 0.442646 5.5565e-09
5.9062 0.442646 3.84143e-09
5.96903 0.442646 2.64527e-09
6.03186 0.442646 1.8144e-09
