TITLE="sinsin"
VARIABLES="x", "y", "z"
ZONE T="sin(x)sin(y)", I=100, J=100, F=POINT
1.88496 0.125664 0.119199
1.94779 0.125664 0.116532
2.01062 0.125664 0.113405
2.07345 0.125664 0.10983
2.13628 0.125664 0.105822
2.19912 0.125664 0.101397
2.26195 0.125664 0.0965709
2.32478 0.125664 0.0913639
2.38761 0.125664 0.0857964
2.45044 0.125664 0.0798903
2.51327 0.125664 0.0736689
2.57611 0.125664 0.0671568
2.63894 0.125664 0.0603797
2.70177 0.125664 0.0533642
2.7646 0.125664 0.0461381
2.82743 0.125664 0.03873
2.89027 0.125664 0.031169
2.9531 0.125664 0.023485
3.01593 0.125664 0.0157083
3.07876 0.125664 0.00786961
3.14159 0.125664 -1.30484e-07
3.20443 0.125664 -0.00786987
3.26726 0.125664 -0.0157086
3.33009 0.125664 -0.0234852
3.39292 0.125664 -0.0311692
3.45575 0.125664 -0.0387302
3.51858 0.125664 -0.0461384
3.58142 0.125664 -0.0533644
3.64425 0.125664 -0.0603799
3.70708 0.125664 -0.067157
3.76991 0.125664 -0.0736692
3.83274 0.125664 -0.0798905
3.89558 0.125664 -0.0857966
3.95841 0.125664 -0.0913641
4.02124 0.125664 -0.096571
4.08407 0.125664 -0.101397
4.1469 0.125664 -0.105822
4.20974 0.125664 -0.10983
4.27257 0.125664 -0.113405
4.3354 0.125664 -0.116532
4.39823 0.125664 -0.119199
4.46106 0.125664 -0.121396
4.52389 0.125664 -0.123113
4.58673 0.125664 -0.124345
4.64956 0.125664 -0.125086
4.71239 0.125664 -0.125333
4.77522 0.125664 -0.125086
4.83805 0.125664 -0.124345
4.90089 0.125664 -0.123113
4.96372 0.125664 -0.121396
5.02655 0.125664 -0.119199
5.08938 0.125664 -0.116532
5.15221 0.125664 -0.113405
5.21505 0.125664 -0.10983
5.27788 0.125664 -0.105822
5.34071 0.125664 -0.101397
5.40354 0.125664 -0.0965708
5.46637 0.125664 -0.0913638
5.5292 0.125664 -0.0857963
5.59204 0.125664 -0.0798902
5.65487 0.125664 -0.0736688
5.7177 0.125664 -0.0671567
5.78053 0.125664 -0.0603795
5.84336 0.125664 -0.0533641
5.9062 0.125664 -0.046138
5.96903 0.125664 -0.0387299
6.03186 0.125664 -0.0311689
6.09469 0.125664 -0.0234849
6.15752 0.125664 -0.0157082
6.22036 0.125664 -0.00786948
0 0.188496 0
0.0628319 0.188496 0.0117658
0.125664 0.188496 0.0234851
0.188496 0.188496 0.0351118
0.251327 0.188496 0.0465998
0.314159 0.188496 0.057904
0.376991 0.188496 0.0689797
0.439823 0.188496 0.0797831
0.502655 0.188496 0.0902717
0.565487 0.188496 0.100404
0.628319 0.188496 0.11014
0.69115 0.188496 0.119441
0.753982 0.188496 0.128271
0.816814 0.188496 0.136595
0.879646 0.188496 0.14438
0.942478 0.188496 0.151595
1.00531 0.188496 0.158211
1.06814 0.188496 0.164204
